especie,LI,LE
S. acapulcoensis,312.2,123.6
S. acapulcoensis,248.8,121.83
S. acapulcoensis,229.9,84.56
S. acapulcoensis,242.6,72.12
S. acapulcoensis,223.4,76.23
S. acapulcoensis,288.2,135.66
S. acapulcoensis,251.1,122
S. acapulcoensis,387.7,117
S. acapulcoensis,180,111
S. acapulcoensis,238.3,120
S. acapulcoensis,294.1,112
S. acapulcoensis,270.9,130
S. acapulcoensis,220.7,113
S. acapulcoensis,143.3,115
S. acapulcoensis,244.8,120
S. acapulcoensis,208.1,106
S. acapulcoensis,390.5,118
S. acapulcoensis,260.9,116
S. acapulcoensis,231.9,108
S. acapulcoensis,222.6,94.1
S. acapulcoensis,284.6,115
S. acapulcoensis,160.9,107
S. acapulcoensis,422.6,121
S. acapulcoensis,214.3,107
S. acapulcoensis,262.6,120
S. acapulcoensis,291.1,121
S. acapulcoensis,344.3,124
S. acapulcoensis,262.4,132
S. acapulcoensis,311.6,112
S. acapulcoensis,218,114
S. flavilatus,110.7,90
S. flavilatus,149.3,76
S. flavilatus,126.2,77
S. flavilatus,102.1,81
S. flavilatus,159.7,78
S. flavilatus,185.5,84
S. flavilatus,120.7,104
S. flavilatus,140.5,82.8
S. flavilatus,154.3,94
S. flavilatus,165.9,93
S. flavilatus,155.4,91
S. flavilatus,235,103
S. flavilatus,152.5,100
S. flavilatus,150.6,93
S. flavilatus,162,100
S. flavilatus,164.4,96
S. flavilatus,183.3,100
S. flavilatus,170.3,86
S. flavilatus,164.2,83
S. flavilatus,138,94
S. flavilatus,215,99
S. flavilatus,127.7,74
S. flavilatus,178,78
S. flavilatus,153,72
