transecto,profundidad,especie,biomasa
T1,Intermediate,S. acapulcoensis,5.106205022
T2,Intermediate,S. acapulcoensis,5.570405479
T3,Intermediate,S. acapulcoensis,5.570405479
T4,Intermediate,S. acapulcoensis,2.98676434
T5,Intermediate,S. acapulcoensis,1.860575682
T6,Intermediate,S. acapulcoensis,6.498806392
T7,Intermediate,S. acapulcoensis,3.249403196
T8,Intermediate,S. acapulcoensis,2.79275045
T9,Intermediate,S. acapulcoensis,2.885983539
T10,Intermediate,S. acapulcoensis,0.1007808
T11,Intermediate,S. acapulcoensis,1.856801826
T12,Intermediate,S. acapulcoensis,0
T13,Deep,S. acapulcoensis,0
T14,Deep,S. acapulcoensis,3.713603652
T15,Deep,S. acapulcoensis,3.713603652
T16,Deep,S. acapulcoensis,1.957582626
T17,Deep,S. acapulcoensis,0
T18,Deep,S. acapulcoensis,2.885983539
T19,Deep,S. acapulcoensis,4.642004566
T20,Deep,S. acapulcoensis,2.321002283
T21,Deep,S. acapulcoensis,0
T22,Deep,S. acapulcoensis,0.928400913
T23,Deep,S. acapulcoensis,2.321002283
T24,Deep,S. acapulcoensis,2.785202739
T25,Shallow,S. acapulcoensis,7.067561504
T26,Shallow,S. acapulcoensis,2.522563883
T27,Shallow,S. acapulcoensis,1.99728617
T28,Shallow,S. acapulcoensis,2.800298161
T29,Shallow,S. acapulcoensis,6.038379791
T30,Shallow,S. acapulcoensis,5.106205022
T31,Shallow,S. acapulcoensis,2.785202739
T32,Shallow,S. acapulcoensis,2.627118538
T33,Shallow,S. acapulcoensis,2.785202739
T34,Shallow,S. acapulcoensis,3.814384453
T35,Shallow,S. acapulcoensis,4.177804109
T36,Shallow,S. acapulcoensis,1.108588801
T1,Intermediate,S. flavilatus,0
T2,Intermediate,S. flavilatus,1.029181713
T3,Intermediate,S. flavilatus,0
T4,Intermediate,S. flavilatus,0
T5,Intermediate,S. flavilatus,0.1007808
T6,Intermediate,S. flavilatus,0
T7,Intermediate,S. flavilatus,0
T8,Intermediate,S. flavilatus,0
T9,Intermediate,S. flavilatus,0
T10,Intermediate,S. flavilatus,0
T11,Intermediate,S. flavilatus,0
T12,Intermediate,S. flavilatus,0.2015616
T13,Deep,S. flavilatus,0.2015616
T14,Deep,S. flavilatus,0.564981257
T15,Deep,S. flavilatus,0
T16,Deep,S. flavilatus,0.1007808
T17,Deep,S. flavilatus,0.209109311
T18,Deep,S. flavilatus,1.331524114
T19,Deep,S. flavilatus,0.928400913
T20,Deep,S. flavilatus,0.766542857
T21,Deep,S. flavilatus,0.665762057
T22,Deep,S. flavilatus,0
T23,Deep,S. flavilatus,0
T24,Deep,S. flavilatus,0
T25,Shallow,S. flavilatus,0
T26,Shallow,S. flavilatus,0
T27,Shallow,S. flavilatus,0.464200457
T28,Shallow,S. flavilatus,0
T29,Shallow,S. flavilatus,0
T30,Shallow,S. flavilatus,0
T31,Shallow,S. flavilatus,0
T32,Shallow,S. flavilatus,0
T33,Shallow,S. flavilatus,0
T34,Shallow,S. flavilatus,0
T35,Shallow,S. flavilatus,0
T36,Shallow,S. flavilatus,0.003773855
