Estomago,Especie,Roja,Verde,Parda,Pasto,Mollusca,Cnidaria,Arthropoda,Echinometra,Annelida,Porifera,Briozo,Chordata,Foraminiferos,Sedimentos,Detritos,MONI,Microplasticos
1,S. acapulcoensis,0.001558239,0.032420032,0.000562697,0,0.006103103,0.00939272,0.001082111,0.000346275,0.00038956,0.003419469,0,0.099554171,0.008656884,0.290005627,0.39388824,0.087694239,0.064926633
2,S. acapulcoensis,0.027077636,0.036859093,0.080370562,0.003055165,0.011875724,0,0.020499175,0.001059453,0.029763225,0.097321803,0.000566684,0.045039052,0.061817823,0.096089881,0.307980388,0.141202848,0.03942149
3,S. acapulcoensis,0.088099354,0.093867428,0.122895686,0.000206674,0.000319405,0.000469713,0.002837066,0.000225462,0.000695175,0.061569968,0.000413347,0.001878852,0.054486698,0.154065835,0.167217796,0.248872689,0.001878852
4,S. acapulcoensis,0.036541353,0.003157895,0.110118153,0,0.004103115,0.041288937,0.010547798,0.000236305,0.021740064,0.024296455,0.008979592,0.038668099,0.021482277,0.270676692,0.240601504,0.165413534,0.002148228
5,S. acapulcoensis,0.108258361,0.059180441,0.027139313,0.005230594,0.006216935,0,0.002540574,0.00101623,0.004214365,0.02319395,0,0.002988911,0.042143647,0.167379024,0.364647159,0.182861584,0.002988911
6,S. acapulcoensis,0.082744181,0.015118556,0.239667174,0,0.002664781,0,0.029938003,0,0.00957146,0.071459648,0.000217533,0.002719165,0.035349141,0.12780074,0.315423102,0.064607353,0.002719165
7,S. acapulcoensis,0.05998112,0.040229468,0.309055261,0.00039939,0.002614189,0,0.040628858,0,0.019860577,0.013252487,0.002541573,0.003630818,0.007261637,0.087139641,0.231646213,0.17812795,0.003630818
8,S. acapulcoensis,0.11947789,0.051780214,0.117216275,4.31E-05,0.002541624,0.000990803,0.001830831,0.000883107,0.001206195,0.022228445,0.000473862,0,0.013225063,0.075387167,0.245546772,0.340706916,0.006461757
9,S. acapulcoensis,0.086647378,0.063898186,0.136608612,0,0.002666364,0,0.000529491,0.006316068,0.004198105,0.047275959,0.000624043,0,0.007564153,0.177757607,0.340386906,0.123636089,0.001891038
10,S. acapulcoensis,0.000812414,0.00418393,0.000446828,0,0.002843448,0,0.002924689,0,0,0,0,0.000121862,0,0.239662036,0.495572345,0.253432448,0
11,S. acapulcoensis,0.064428509,0.000733377,0.073174707,0,0.014260104,0,0.002553238,0.000733377,0.003694046,0.067905259,0.000162973,0.016297262,0.012684702,0.209148196,0.277053455,0.254454585,0.00271621
12,S. acapulcoensis,0.165477273,0.001227273,0.004386364,0.000227273,0.013431818,0.000568182,0.005113636,9.09E-05,0.000772727,0.030659091,0.000568182,0,0.036704545,0.170454545,0.284090909,0.283954545,0.002272727
13,S. acapulcoensis,0.03869401,0.164328117,0.00264436,0.006961684,0,0,0.001672963,0,0.000863465,0,0,0,0,0.129519698,0.383162439,0.266756611,0.005396654
14,S. acapulcoensis,0.004029964,0.034515456,0.004172198,0.000900815,0.002749858,0,0.00142234,0.001374929,0.000379291,0.039541058,0.001185284,0,0.057225488,0.203868765,0.284468045,0.364166509,0
15,S. acapulcoensis,0.060294496,0.035581831,0.242279587,0,0.021444571,0.00246025,0.00246025,0.00227665,0.012448133,0.045129071,0,0.014577902,0.023978262,0.066830683,0.026401792,0.443836522,0
16,S. acapulcoensis,0.127543932,0.062443637,0.205269444,0.004752736,0.002169197,0.006678203,0.004094665,0.00024373,0.004045919,0.077603646,0.007750615,0.000658052,0.000414341,0.113943796,0.038192498,0.342806308,0.001389261
17,S. acapulcoensis,0.095561626,0.050243982,0.069902641,0.000280171,0.015292662,0.001097336,0.007517919,0.003665569,0.003105228,0.132287362,0.000490299,0.006233802,0.009829329,0.086222596,0.093810558,0.423991968,0.000466952
18,S. acapulcoensis,0.063359308,0.008914365,0.044000653,0,0.016013219,0.000591571,0.013993717,0.000224389,0.004263392,0.17233079,0.001060748,0.000632369,0.004426584,0.076537065,0.277977235,0.3155726,0.000101995
19,S. acapulcoensis,0.095899076,0.078890958,0.052640827,0,0.032575465,0.008714903,0.02617985,0.003760059,0.007941807,0.028780265,0.005376533,0.004919703,0.005552237,0.045436975,0.248093615,0.354640335,0.000597393
20,S. acapulcoensis,0.008047426,0.018455431,0.153196169,0,0.002682475,0.009495963,0.003460393,0,0.000107299,0.039593337,0.013305078,0.000643769,0.000402371,0.231953647,0.348158481,0.168057083,0.002441053
21,S. acapulcoensis,0.001569331,0.000280238,0.001569331,0.001120951,0.003362852,0.019336397,0.003418899,0.000392333,0.013227217,0.002241901,0,0.000336285,0.005044278,0.103575832,0.386896088,0.439300527,0.018327542
22,S. acapulcoensis,0.016430277,0.00514909,0.000280859,0,0.067219024,0.003932032,0.000702149,4.68E-05,0.014089781,0.096990123,0.000280859,0.01493236,0.050741937,0.060618827,0.250011702,0.4040631,0.014511071
23,S. acapulcoensis,0.008092996,0.000294291,0.018196979,0.000392388,0.006964881,0,0.000196194,0.000539533,0,0,0,0,0,0,0.607710418,0.340396312,0.017216009
24,S. acapulcoensis,0.05898931,0.00952381,0.008163265,0,0.018075802,0.001457726,0.033819242,0.003109815,0.001846453,0,0.000388727,0.001749271,0.003887269,0.062682216,0.28707483,0.509232264,0
25,S. acapulcoensis,0.144230769,0.057378452,0.093215019,0,0.006220041,0.000399452,0.002653504,0.001997261,0.014865328,0.00596325,5.71E-05,0.00039942,0.001455147,0.160522712,0.09992011,0.410551244,0.000171194
