Stomach,Species,Rhodophyceae,Chloropyceae,Phaeophyceae,Tracheophyta,Mollusca,Cnidaria,Arthropoda,Echinodermata,Annelida,Porifera,Bryozoans,Chordata,Foraminifera,Sediments,Detritus,UOM,Microplastics
1,S. acapulcoensis,0.0036,0.0749,0.0013,0,0.0141,0.0217,0.0025,0.0008,0.0009,0.0079,0,0.23,0.02,0.67,0.91,0.2026,0.15
2,S. acapulcoensis,0.1099,0.1496,0.3262,0.0124,0.0482,0,0.0832,0.0043,0.1208,0.395,0.0023,0.1828,0.2509,0.39,1.25,0.5731,0.16
3,S. acapulcoensis,0.4689,0.4996,0.6541,0.0011,0.0017,0.0025,0.0151,0.0012,0.0037,0.3277,0.0022,0.01,0.29,0.82,0.89,1.3246,0.01
4,S. acapulcoensis,0.1701,0.0147,0.5126,0,0.0191,0.1922,0.0491,0.0011,0.1012,0.1131,0.0418,0.18,0.1,1.26,1.12,0.77,0.01
5,S. acapulcoensis,0.3622,0.198,0.0908,0.0175,0.0208,0,0.0085,0.0034,0.0141,0.0776,0,0.01,0.141,0.56,1.22,0.6118,0.01
6,S. acapulcoensis,0.3043,0.0556,0.8814,0,0.0098,0,0.1101,0,0.0352,0.2628,0.0008,0.01,0.13,0.47,1.16,0.2376,0.01
7,S. acapulcoensis,0.1652,0.1108,0.8512,0.0011,0.0072,0,0.1119,0,0.0547,0.0365,0.007,0.01,0.02,0.24,0.638,0.4906,0.01
8,S. acapulcoensis,0.5547,0.2404,0.5442,0.0002,0.0118,0.0046,0.0085,0.0041,0.0056,0.1032,0.0022,0,0.0614,0.35,1.14,1.5818,0.03
9,S. acapulcoensis,0.4582,0.3379,0.7224,0,0.0141,0,0.0028,0.0334,0.0222,0.25,0.0033,0,0.04,0.94,1.8,0.6538,0.01
10,S. acapulcoensis,0.002,0.0103,0.0011,0,0.007,0,0.0072,0,0,0,0,0.0003,0,0.59,1.22,0.6239,0
11,S. acapulcoensis,0.2372,0.0027,0.2694,0,0.0525,0,0.0094,0.0027,0.0136,0.25,0.0006,0.06,0.0467,0.77,1.02,0.9368,0.01
12,S. acapulcoensis,0.7281,0.0054,0.0193,0.001,0.0591,0.0025,0.0225,0.0004,0.0034,0.1349,0.0025,0,0.1615,0.75,1.25,1.2494,0.01
13,S. acapulcoensis,0.0717,0.3045,0.0049,0.0129,0,0,0.0031,0,0.0016,0,0,0,0,0.24,0.71,0.4943,0.01
14,S. acapulcoensis,0.0085,0.0728,0.0088,0.0019,0.0058,0,0.003,0.0029,0.0008,0.0834,0.0025,0,0.1207,0.43,0.6,0.7681,0
15,S. acapulcoensis,0.1642,0.0969,0.6598,0,0.0584,0.0067,0.0067,0.0062,0.0339,0.1229,0,0.0397,0.0653,0.182,0.0719,1.2087,0
16,S. acapulcoensis,0.5233,0.2562,0.8422,0.0195,0.0089,0.0274,0.0168,0.001,0.0166,0.3184,0.0318,0.0027,0.0017,0.4675,0.1567,1.4065,0.0057
17,S. acapulcoensis,0.4093,0.2152,0.2994,0.0012,0.0655,0.0047,0.0322,0.0157,0.0133,0.5666,0.0021,0.0267,0.0421,0.3693,0.4018,1.816,0.002
18,S. acapulcoensis,0.3106,0.0437,0.2157,0,0.0785,0.0029,0.0686,0.0011,0.0209,0.8448,0.0052,0.0031,0.0217,0.3752,1.3627,1.547,0.0005
19,S. acapulcoensis,0.2729,0.2245,0.1498,0,0.0927,0.0248,0.0745,0.0107,0.0226,0.0819,0.0153,0.014,0.0158,0.1293,0.706,1.0092,0.0017
20,S. acapulcoensis,0.03,0.0688,0.5711,0,0.01,0.0354,0.0129,0,0.0004,0.1476,0.0496,0.0024,0.0015,0.8647,1.2979,0.6265,0.0091
21,S. acapulcoensis,0.0028,0.0005,0.0028,0.002,0.006,0.0345,0.0061,0.0007,0.0236,0.004,0,0.0006,0.009,0.1848,0.6903,0.7838,0.0327
22,S. acapulcoensis,0.0351,0.011,0.0006,0,0.1436,0.0084,0.0015,0.0001,0.0301,0.2072,0.0006,0.0319,0.1084,0.1295,0.5341,0.8632,0.031
23,S. acapulcoensis,0.0165,0.0006,0.0371,0.0008,0.0142,0,0.0004,0.0011,0,0,0,0,0,0,1.239,0.694,0.0351
24,S. acapulcoensis,0.0607,0.0098,0.0084,0,0.0186,0.0015,0.0348,0.0032,0.0019,0,0.0004,0.0018,0.004,0.0645,0.2954,0.524,0
25,S. acapulcoensis,0.5055,0.2011,0.3267,0,0.0218,0.0014,0.0093,0.007,0.0521,0.0209,0.0002,0.0014,0.0051,0.5626,0.3502,1.4389,0.0006
26,S. acapulcoensis,0.1886,0.1832,0.5997,0,0.1151,0.0007,0.0122,0.0004,0.0132,0.0955,0.0082,0.0141,0.0035,1.8137,5.2592,1.671,0.0005
27,S. acapulcoensis,0.0013,0.007,0,0,0.0015,0,0.0015,0,0,0.0011,0,0.0016,0.0018,0.0032,0.1515,0.0891,0.0018
28,S. acapulcoensis,0.1056,0.0229,0.0011,0.0114,0.054,0.0139,0.0506,0.0104,0.0549,0.0737,0.0018,0.0212,0.0074,1.0524,1.7017,1.5204,0.0016
29,S. acapulcoensis,0.3071,0.014,0.5711,0,0.0783,0.0125,0.0279,0.0087,0.0216,0.3965,0.0016,0.1059,0.0661,0.604,0.2959,1.066,0
30,S. acapulcoensis,0.0268,0.0923,0.2201,0.0012,0.0605,0.0133,0.0349,0.0008,0.0977,0.0355,0.001,0.0532,0.0067,0.3348,0.537,0.9075,0.0031
31,S. acapulcoensis,0.0126,0.0185,0.0016,0.0018,0,0,0.0003,0.2817,0,0,0,0.0003,0.0113,0.0277,0.2611,0.3325,0.0277
32,S. flavilatus,0.005,0.0078,0.0466,0,0.1004,0.0014,0.1914,0.0166,0.0048,0.0489,0.0012,0.0315,0.0016,0.664,0.0361,0.7822,0.156
