individuo,especie,DO,PSO,APC,PAC,M
1,S. acapulcoensis,0.086731392,0.34328479,0.17289644,0.303478964,0.08592233
2,S. acapulcoensis,0.087991464,0.348272183,0.175408356,0.307888041,0.087170648
3,S. acapulcoensis,0.126773888,0.501773888,0.252719962,0.44359035,0.125591296
4,S. acapulcoensis,0.148641154,0.588325014,0.296311703,0.52010538,0.147254576
5,S. acapulcoensis,0.14062705,0.556605011,0.280335826,0.492063492,0.13931523
6,S. acapulcoensis,0.079021082,0.312767212,0.157526168,0.276500074,0.078283945
7,S. acapulcoensis,0.087868852,0.347786885,0.175163934,0.307459016,0.08704918
8,S. acapulcoensis,0.091623932,0.362649573,0.182649573,0.320598291,0.090769231
9,S. acapulcoensis,0.096576577,0.382252252,0.192522523,0.337927928,0.095675676
10,S. acapulcoensis,0.089333333,0.353583333,0.178083333,0.312583333,0.0885
11,S. acapulcoensis,0.095714286,0.378839286,0.190803571,0.334910714,0.094821429
12,S. acapulcoensis,0.082461538,0.326384615,0.164384615,0.288538462,0.081692308
13,S. acapulcoensis,0.094867257,0.375486726,0.189115044,0.331946903,0.093982301
14,S. acapulcoensis,0.093217391,0.368956522,0.185826087,0.326173913,0.092347826
15,S. acapulcoensis,0.089333333,0.353583333,0.178083333,0.312583333,0.0885
16,S. acapulcoensis,0.101132075,0.400283019,0.201603774,0.353867925,0.100188679
17,S. acapulcoensis,0.090847458,0.359576271,0.181101695,0.317881356,0.09
18,S. acapulcoensis,0.092413793,0.365775862,0.184224138,0.323362069,0.091551724
19,S. acapulcoensis,0.11392136,0.450903294,0.227098831,0.398618491,0.112858661
20,S. acapulcoensis,0.099259259,0.39287037,0.19787037,0.347314815,0.098333333
21,S. acapulcoensis,0.093217391,0.368956522,0.185826087,0.326173913,0.092347826
22,S. acapulcoensis,0.100186916,0.396542056,0.199719626,0.350560748,0.099252336
23,S. acapulcoensis,0.088595041,0.350661157,0.17661157,0.31,0.087768595
24,S. acapulcoensis,0.100186916,0.396542056,0.199719626,0.350560748,0.099252336
25,S. acapulcoensis,0.086451613,0.342177419,0.17233871,0.3025,0.085645161
26,S. acapulcoensis,0.089333333,0.353583333,0.178083333,0.312583333,0.0885
27,S. acapulcoensis,0.088595041,0.350661157,0.17661157,0.31,0.087768595
28,S. acapulcoensis,0.086451613,0.342177419,0.17233871,0.3025,0.085645161
29,S. acapulcoensis,0.081212121,0.321439394,0.161893939,0.284166667,0.080454545
30,S. acapulcoensis,0.095714286,0.378839286,0.190803571,0.334910714,0.094821429
31,S. acapulcoensis,0.094035088,0.372192982,0.18745614,0.329035088,0.093157895
32,S. flavilatus,0.119111111,0.471444444,0.237444444,0.416777778,0.118
33,S. flavilatus,0.141052632,0.558289474,0.281184211,0.493552632,0.139736842
34,S. flavilatus,0.139220779,0.551038961,0.277532468,0.487142857,0.137922078
35,S. flavilatus,0.132345679,0.52382716,0.26382716,0.46308642,0.131111111
36,S. flavilatus,0.137435897,0.543974359,0.273974359,0.480897436,0.136153846
37,S. flavilatus,0.127619048,0.505119048,0.254404762,0.446547619,0.126428571
38,S. flavilatus,0.103076923,0.407980769,0.205480769,0.360673077,0.102115385
39,S. flavilatus,0.114042553,0.451382979,0.227340426,0.399042553,0.112978723
40,S. flavilatus,0.115268817,0.456236559,0.229784946,0.403333333,0.114193548
41,S. flavilatus,0.117802198,0.466263736,0.234835165,0.412197802,0.116703297
42,S. flavilatus,0.10407767,0.411941748,0.207475728,0.364174757,0.103106796
43,S. flavilatus,0.1072,0.4243,0.2137,0.3751,0.1062
44,S. flavilatus,0.115268817,0.456236559,0.229784946,0.403333333,0.114193548
45,S. flavilatus,0.1072,0.4243,0.2137,0.3751,0.1062
46,S. flavilatus,0.111666667,0.441979167,0.222604167,0.390729167,0.110625
47,S. flavilatus,0.1072,0.4243,0.2137,0.3751,0.1062
48,S. flavilatus,0.124651163,0.493372093,0.248488372,0.436162791,0.123488372
49,S. flavilatus,0.129156627,0.511204819,0.25746988,0.451927711,0.127951807
50,S. flavilatus,0.114042553,0.451382979,0.227340426,0.399042553,0.112978723
51,S. flavilatus,0.108282828,0.428585859,0.215858586,0.378888889,0.107272727
52,S. flavilatus,0.144864865,0.573378378,0.288783784,0.506891892,0.143513514
53,S. flavilatus,0.137435897,0.543974359,0.273974359,0.480897436,0.136153846
54,S. flavilatus,0.148888889,0.589305556,0.296805556,0.520972222,0.1475
