transecto,Depth,Species,Feeding_pressure
T1,Intermediate,S. flavilatus,0
T2,Intermediate,S. flavilatus,4.64647119
T3,Intermediate,S. flavilatus,0
T4,Intermediate,S. flavilatus,0
T5,Intermediate,S. flavilatus,0.454997478
T6,Intermediate,S. flavilatus,0
T7,Intermediate,S. flavilatus,0
T8,Intermediate,S. flavilatus,0
T9,Intermediate,S. flavilatus,0
T10,Intermediate,S. flavilatus,0
T11,Intermediate,S. flavilatus,0
T12,Intermediate,S. flavilatus,0.909994956
T1,Deep,S. flavilatus,1.363503015
T2,Deep,S. flavilatus,3.821926633
T3,Deep,S. flavilatus,0
T4,Deep,S. flavilatus,0.681751507
T5,Deep,S. flavilatus,1.414560988
T6,Deep,S. flavilatus,9.007356281
T7,Deep,S. flavilatus,6.280350245
T8,Deep,S. flavilatus,5.185429648
T9,Deep,S. flavilatus,4.503678141
T10,Deep,S. flavilatus,0
T11,Deep,S. flavilatus,0
T12,Deep,S. flavilatus,0
T1,Shallow,S. flavilatus,0
T2,Shallow,S. flavilatus,0
T3,Shallow,S. flavilatus,1.141117583
T4,Shallow,S. flavilatus,0
T5,Shallow,S. flavilatus,0
T6,Shallow,S. flavilatus,0
T7,Shallow,S. flavilatus,0
T8,Shallow,S. flavilatus,0
T9,Shallow,S. flavilatus,0
T10,Shallow,S. flavilatus,0
T11,Shallow,S. flavilatus,0
T12,Shallow,S. flavilatus,0.009277053
T1,Intermediate,S. acapulcoensis,11.68360638
T2,Intermediate,S. acapulcoensis,12.74575241
T3,Intermediate,S. acapulcoensis,12.74575241
T4,Intermediate,S. acapulcoensis,6.834073198
T5,Intermediate,S. acapulcoensis,4.257219169
T6,Intermediate,S. acapulcoensis,14.87004448
T7,Intermediate,S. acapulcoensis,7.435022239
T8,Intermediate,S. acapulcoensis,6.390146267
T9,Intermediate,S. acapulcoensis,6.6034747
T10,Intermediate,S. acapulcoensis,0.230598496
T11,Intermediate,S. acapulcoensis,4.248584136
T12,Intermediate,S. acapulcoensis,0
T1,Deep,S. acapulcoensis,0
T2,Deep,S. acapulcoensis,11.01089295
T3,Deep,S. acapulcoensis,11.01089295
T4,Deep,S. acapulcoensis,5.804263127
T5,Deep,S. acapulcoensis,0
T6,Deep,S. acapulcoensis,8.556986365
T7,Deep,S. acapulcoensis,13.7636162
T8,Deep,S. acapulcoensis,6.881808098
T9,Deep,S. acapulcoensis,0
T10,Deep,S. acapulcoensis,2.752723239
T11,Deep,S. acapulcoensis,6.881808098
T12,Deep,S. acapulcoensis,8.258169716
T1,Shallow,S. acapulcoensis,69.31661879
T2,Shallow,S. acapulcoensis,24.740584
T3,Shallow,S. acapulcoensis,19.58881065
T4,Shallow,S. acapulcoensis,27.46452224
T5,Shallow,S. acapulcoensis,59.22269935
T6,Shallow,S. acapulcoensis,50.08019623
T7,Shallow,S. acapulcoensis,27.31647067
T8,Shallow,S. acapulcoensis,25.76602611
T9,Shallow,S. acapulcoensis,27.31647067
T10,Shallow,S. acapulcoensis,37.41039012
T11,Shallow,S. acapulcoensis,40.97470601
T12,Shallow,S. acapulcoensis,10.87272141
