Especie,Profundidad,Area
S. flavilatus,Deep,2.43
S. flavilatus,Deep,3.69
S. flavilatus,Deep,4.01
S. flavilatus,Deep,5.53
S. flavilatus,Deep,4.2
S. flavilatus,Deep,8.42
S. flavilatus,Deep,1.52
S. flavilatus,Deep,5.93
S. flavilatus,Deep,6.76
S. flavilatus,Intermediate,3.8
S. flavilatus,Intermediate,4.93
S. flavilatus,Intermediate,3.87
S. flavilatus,Intermediate,4.35
S. flavilatus,Intermediate,5.81
S. flavilatus,Intermediate,4.06
S. flavilatus,Intermediate,3.99
S. flavilatus,Intermediate,4.13
S. flavilatus,Intermediate,18.1
S. flavilatus,Intermediate,2.27
S. flavilatus,Intermediate,12.27
S. flavilatus,Intermediate,12.57
S. flavilatus,Intermediate,6.79
S. flavilatus,Intermediate,4.01
S. flavilatus,Intermediate,7.94
S. flavilatus,Shallow,2.92
S. flavilatus,Shallow,17.7
S. flavilatus,Shallow,1.86
S. flavilatus,Shallow,11.34
S. flavilatus,Shallow,11.22
S. flavilatus,Shallow,12.48
S. acapulcoensis,Deep,5.12
S. acapulcoensis,Deep,4.6
S. acapulcoensis,Deep,5.98
S. acapulcoensis,Deep,3.87
S. acapulcoensis,Deep,4.78
S. acapulcoensis,Deep,2.72
S. acapulcoensis,Deep,4.78
S. acapulcoensis,Deep,5.64
S. acapulcoensis,Intermediate,6.61
S. acapulcoensis,Intermediate,6.76
S. acapulcoensis,Intermediate,6.16
S. acapulcoensis,Intermediate,5.56
S. acapulcoensis,Intermediate,5.67
S. acapulcoensis,Intermediate,4.23
S. acapulcoensis,Intermediate,7.42
S. acapulcoensis,Intermediate,4.73
S. acapulcoensis,Intermediate,5.15
S. acapulcoensis,Shallow,3.49
S. acapulcoensis,Shallow,3.87
S. acapulcoensis,Shallow,2.9
S. acapulcoensis,Shallow,3.6
S. acapulcoensis,Shallow,6.39
S. acapulcoensis,Shallow,2.78
S. acapulcoensis,Shallow,3.8
S. acapulcoensis,Shallow,2.64
S. acapulcoensis,Shallow,4.99
S. acapulcoensis,Shallow,4.23
S. acapulcoensis,Shallow,0.99
S. acapulcoensis,Shallow,3.14
S. acapulcoensis,Shallow,2.36
